fen,eval
r3B1nr/k7/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 4 27,9.9600
r3B1nr/k7/3b1p2/p1Qpp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 b - - 5 27,1.8300
r3B1nr/1k6/3b1p2/p1Qpp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 6 28,9.9600
r3B1nr/1k6/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 b - - 7 28,10.0500
r3B1nr/k7/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 8 29,10.9500
r3B1nr/k7/3b1p2/pQ1pp1p1/Pp2P1n1/1P1P2BP/1P3P1P/R2K1NR1 b - - 0 29,6.8300
r3B1nr/k7/3b4/pQ1pppp1/Pp2P1n1/1P1P2BP/1P3P1P/R2K1NR1 w - - 0 30,9.7800
r3B1nr/k7/3b4/pQ1pppp1/Pp2P1n1/1P1P2BP/1P1K1P1P/R4NR1 b - - 1 30,7.2300
r3B1n1/k7/3b4/pQ1ppppr/Pp2P1n1/1P1P2BP/1P1K1P1P/R4NR1 w - - 2 31,10.2500
r3B1n1/k7/3b4/pQ1ppppr/Pp2P1n1/1P1P2BP/1P1K1P1P/1R3NR1 b - - 3 31,7.2900
rnbqkb1r/p1pppppp/1p5n/6N1/7P/8/PPPPPPP1/RNBQKB1R b KQkq - 0 3,-0.0200
rnbqkb1r/p1p1pppp/1p5n/3p2N1/7P/8/PPPPPPP1/RNBQKB1R w KQkq - 0 4,0.0900
